0202,Bioengineering
0541,Biomedical engineering
0542,Chemical engineering
0543,Civil engineering
0464,Computer engineering
0984,Computer science 
0544,Electrical engineering
0537,Engineering
0466,Geological engineering
0467,Geophysical engineering 
0428,Geotechnology 
0218,Hydraulic engineering 
0546,Industrial engineering
0548,Mechanical engineering 
0551,Mining
0468,Naval engineering
0652,Nanotechnology
0552,Nuclear engineering
0547,Ocean engineering 
0796,Operations research
0549,Packaging 
0765,Petroleum engineering
0795,Plastics
0771,Robotics
0790,Systems science
0408,Conservation biology 
0438,Environmental economics
0442,Environmental education 
0775,Environmental engineering
0407,Environmental geology
0470,Environmental health 
0619,Environmental justice 
0439,Environmental law 
0474,Environmental management 
0392,Environmental philosophy
0768,Environmental science 
0477,Environmental studies
0536,Land use planning 
0528,Natural resource management 
0595,Water resources management
0284,Wildlife conservation
0367,Aeronomy
0371,Atmospheric chemistry
0725,Atmospheric sciences
0425,Biogeochemistry 
0416,Biological oceanography
0403,Chemical oceanography
0406,Continental dynamics
0483,Geobiology
0996,Geochemistry
0370,Geographic information science
0372,Geology
0484,Geomorphology
0373,Geophysics
0388,Hydrologic sciences
0556,Marie geology
0557,Meteorology
0411,Mineralogy
0653,Paleoclimate science
0418,Paleontology 
0583,Petroleum geology 
0584,Petrology 
0368,Physical geography 
0415,Physical oceanography
0590,Planetology
0592,Plate tectonics 
0799,Remote sensing 
0594,Sedimentary geology
0493,Aging
0496,Alternative medicine
0300,Audiology
0567,Dentistry
0757,Dermatology
0766,Epidemiology
0575,Exercise, kinesiology, and sports medicine
0351,Gerontology
0769,Healthcare management
0566,Health sciences
0982,Immunology
0497,Medical ethics 
0574,Medical imaging
0207,Medical personnel
0564,Medicine
0347,Mental health 
0209,Music therapy
0569,Nursing
0570,Nutrition
0380,Obstetrics & gynecology
0354,Occupational safety
0498,Occupational therapy
0992,Oncology
0381,Ophthalmology 
0210,Optometry
0499,Osteopathic medicine
0571,Pathology 
0767,Pediatrics
0572,Pharmaceutical sciences
0419,Pharmacology
0382,Physical therapy
0573,Public health
0500,Public health education
0460,Speech therapy
0576,Surgery
0212,Therapy
0383,Toxicology
0778,Veterinary services
0986,Acoustics
0749,Agricultural chemistry
0486,Analytical chemistry
0364,Applied mathematics
0215,Applied physics
0606,Astronomy
0596,Astrophysics
0748,Atomic physics 
0485,Chemistry
0219,Computational chemistry
0216,Computational physics
0611,Condensed matter physics
0607,Electromagnetics
0204,Fluid mechanics
0597,High temperature physics
0488,Inorganic chemistry
0598,Low temperature physics
0794,Materials science
0405,Mathematics
0346,Mechanics
0431,Molecular chemistry
0609,Molecular physics
0565,Nanoscience
0738,Nuclear chemistry
0756,Nuclear physics
0752,Optics 
0490,Organic chemistry
0798,Particle physics
0494,Physical chemistry
0605,Physics
0759,Plasma physics
0495,Polymer chemistry
0599,Quantum physics
0217,Statistical physics 
0463,Statistics
0642,Theoretical mathematics
0753,Theoretical physics
0348,Thermodynamics
